"state","account.length","international.plan","voice.mail.plan","number.vmail.messages","total.day.calls","total.day.charge","total.eve.calls","total.eve.charge","total.night.calls","total.night.charge","total.intl.calls","total.intl.charge","number.customer.service.calls","Churn"
"38",59,"1","2",28,97,20.55,92,18.11,116,7.34,5,2.3,2,"1"
"23",65,"1","1",0,120,35.92,122,13.82,118,6.06,5,3.56,3,"1"
"9",142,"1","1",0,133,31.79,74,11.44,127,10.9,5,2,2,"1"
"14",119,"1","1",0,114,27.05,117,19.66,91,6.44,3,2.38,5,"2"
"51",97,"1","2",24,135,22.64,58,18.46,79,3.18,3,2.97,1,"1"
"13",52,"1","1",0,108,32.62,96,22.93,87,10.66,5,2.11,3,"1"
"16",60,"1","1",0,57,37.5,115,17.94,129,11.21,3,1.84,1,"1"
"46",10,"1","1",0,112,31.64,66,16.17,57,12.73,6,3.08,2,"1"
"45",96,"1","1",0,117,27.23,67,22.74,68,10.28,5,2.51,2,"1"
"51",87,"1","1",0,83,25.67,116,18.67,127,9.18,3,2.62,5,"2"
"16",81,"1","1",0,67,29.84,85,21.19,98,12.16,3,2.75,1,"1"
"6",141,"1","1",0,98,21.57,62,15.3,128,6.34,2,2.16,1,"1"
"6",121,"1","2",30,129,33.73,77,6.4,77,8.15,3,1.57,3,"2"
"49",68,"1","1",0,70,25.3,164,20.95,103,5.84,3,3.27,3,"1"
"37",125,"1","1",0,103,38.98,126,15.08,95,8.52,8,3.24,1,"1"
"14",174,"1","1",0,97,32.66,94,14.44,54,7.5,4,3.08,1,"1"
"5",116,"1","2",34,83,45.66,142,15.15,106,7.48,3,3.13,2,"1"
"24",74,"1","2",33,91,32.93,96,20.92,92,6.21,3,3.94,2,"1"
"42",149,"1","2",28,92,30.72,64,15.96,53,11.95,3,3.4,3,"1"
"28",38,"1","1",0,98,22.3,97,13.85,106,7.15,6,2.21,2,"1"
"48",40,"1","2",41,74,25.18,88,14.41,102,9.63,5,1.67,2,"1"
"51",43,"2","1",0,105,42.76,104,18.09,67,7.1,4,2.51,0,"1"
"24",113,"2","1",0,93,21.28,119,17.54,139,5.82,8,2.24,0,"1"
"45",126,"1","1",0,70,35.97,80,18.44,60,6.91,1,2.11,1,"1"
"44",150,"1","1",0,101,30.41,110,14.37,100,6.69,3,3.73,4,"2"
"32",138,"1","1",0,93,41.11,83,14.49,104,13.29,7,3.19,3,"1"
"24",162,"1","2",46,97,38.23,84,16,61,11.46,2,3.27,0,"1"
"33",147,"1","1",0,83,42.26,85,12.66,109,7.76,4,2.16,3,"1"
"34",90,"1","1",0,146,34.58,117,19.27,105,6.86,4,1.97,1,"1"
"12",85,"1","1",0,109,40.09,94,13.36,99,8.47,3,3.24,0,"1"
"24",50,"1","1",0,90,26.71,72,18.98,111,8.16,2,1.65,1,"1"
"8",82,"1","1",0,109,51.05,100,15.39,73,12.15,4,3.16,0,"2"
"35",144,"1","1",0,117,10.47,85,6.55,99,7.79,7,2.21,4,"2"
"24",46,"1","1",0,72,36.4,104,13.97,113,7.99,3,2.21,2,"1"
"21",70,"1","1",0,98,28.93,102,13.19,76,10.29,2,4.05,1,"1"
"50",144,"1","1",0,99,34.19,74,25.8,119,10.08,2,3.56,1,"1"
"38",116,"2","1",0,104,36.62,79,17.41,109,12.53,5,3.4,3,"1"
"6",55,"1","2",25,123,28.15,95,11.57,90,7.91,2,2.97,3,"1"
"11",70,"1","2",24,101,42.42,98,22.07,68,10.02,4,2.65,1,"1"
"44",106,"1","1",0,96,35.8,85,21.18,88,8.61,1,3.35,2,"2"
"47",128,"1","2",29,104,30.48,86,19.2,78,14.54,7,2.32,0,"1"
"16",94,"1","1",0,105,26.84,101,13.18,84,8.53,5,2.16,4,"2"
"50",111,"1","1",0,118,36.43,76,17.72,98,8.21,2,3.24,1,"1"
"18",74,"1","2",35,104,26.2,84,10.49,57,9.09,9,2.94,2,"1"
"32",128,"1","1",0,125,40.44,93,21.05,68,9.4,4,3.75,1,"2"
"8",82,"1","1",0,61,24.46,105,16.57,94,4.93,2,3,1,"1"
"19",155,"1","1",0,100,34.58,104,16.23,119,8.82,4,2.4,0,"2"
"3",80,"1","1",0,100,21.13,107,14.71,62,11.39,9,2.13,1,"1"
"22",78,"1","1",0,93,42.99,112,15.16,105,11.88,7,2.57,3,"1"
"4",90,"1","1",0,71,30.45,81,16.2,91,5.75,7,2.86,3,"1"
"1",104,"1","1",0,106,47.33,113,6.89,137,7.34,5,2.65,1,"1"
"27",73,"1","1",0,110,27.22,72,18.13,72,7.83,4,3.51,0,"1"
"4",99,"1","1",0,87,33.69,76,17.62,113,8.59,3,2.35,4,"1"
"26",120,"1","1",0,131,36.06,104,17.8,96,7.52,5,1.43,1,"2"
"14",77,"1","1",0,72,42.81,126,17.48,109,12.38,7,2.65,2,"2"
"13",98,"1","2",21,114,27.4,83,21.44,92,7.21,8,1.19,4,"1"
"20",108,"1","1",0,137,30.31,76,16.07,102,5.81,5,3.94,0,"1"
"47",135,"1","1",0,82,25.79,105,10.12,100,8.1,6,2.84,0,"1"
"18",95,"1","1",0,99,22.95,106,15.61,102,11.04,9,3.38,1,"1"
"16",122,"1","1",0,94,28.99,109,14.76,75,11.19,2,3.05,1,"1"
"4",95,"1","1",0,65,40.48,98,15.91,115,8.55,4,3.19,4,"1"
"23",36,"1","2",29,102,47.84,76,17.19,113,8.42,6,2.43,2,"1"
"33",93,"1","2",21,131,20.04,115,13.98,86,9.76,3,2.65,1,"1"
"6",141,"1","2",32,91,25.26,97,11.14,142,9.87,1,2.73,1,"1"
"45",157,"1","1",0,90,39.07,121,12.57,108,10.86,7,2.59,3,"1"
"23",120,"1","1",0,100,28.05,83,26.96,86,5.36,8,2.24,1,"1"
"20",103,"1","1",0,117,31.45,94,18.98,91,10.03,2,3.4,2,"1"
"2",98,"1","1",0,117,27.37,113,16.23,113,10.25,4,3.27,4,"1"
"9",125,"1","1",0,108,21.54,90,17.51,114,11.15,7,3.59,1,"1"
"4",63,"1","1",0,125,10.01,59,14.42,88,9.51,3,2.54,1,"1"
"22",36,"2","2",42,89,33.46,122,21.67,126,6.22,6,5.4,0,"2"
"32",64,"1","1",0,83,27.64,109,12.95,122,2.59,3,3.83,1,"1"
"34",74,"1","1",0,114,48.03,48,18.69,115,7.65,4,2.54,1,"2"
"25",112,"1","2",36,117,19.33,82,13.39,118,7.99,3,2.7,2,"1"
"14",97,"1","1",0,125,40.77,111,18.26,81,6.45,5,2.35,2,"1"
"30",46,"1","1",0,92,35.73,77,19.32,116,9,7,3.54,1,"1"
"44",41,"1","2",22,102,36.35,86,12.05,123,6.4,3,1.94,0,"1"
"21",121,"1","1",0,103,32.42,117,15.6,103,9.94,4,2.65,3,"1"
"26",193,"1","1",0,124,29.05,95,11.25,89,5.08,3,3.13,1,"1"
"34",130,"1","1",0,119,26.21,98,9.37,117,10.23,5,2.48,2,"1"
"4",85,"1","1",0,52,34.24,104,19.5,106,11.36,3,3.24,1,"1"
"26",162,"1","1",0,108,12.02,87,13.39,82,6.97,3,2.46,4,"2"
"26",61,"1","2",27,124,31.88,103,12.46,129,10.16,6,1.73,4,"2"
"44",92,"1","1",0,90,15.59,123,16.46,86,7.88,4,2.48,2,"1"
"30",131,"1","2",36,115,36.41,117,13.74,102,11.91,4,2.57,3,"1"
"30",90,"1","1",0,92,24.74,114,18.5,123,6.61,2,2.94,3,"1"
"5",75,"1","1",0,125,28.27,86,13.45,80,11.55,5,1.65,1,"1"
"32",78,"1","1",0,115,39.27,140,19.58,120,11.76,3,2.57,1,"1"
"44",82,"1","1",0,96,34.05,102,17.1,60,9.27,1,1.92,4,"1"
"3",163,"1","1",0,109,33.49,128,17.22,80,9.29,10,2.46,1,"1"
"2",91,"2","1",0,112,22.08,83,14.73,130,11.12,3,3.02,3,"1"
"35",75,"1","2",21,97,29.89,106,18.49,134,10.69,4,1.43,5,"1"
"10",91,"1","1",0,106,34.53,113,17.86,129,8.8,3,3.24,3,"1"
"1",127,"1","2",36,117,31.14,76,10.78,71,11.85,8,3.02,1,"1"
"34",113,"1","2",23,101,34.85,60,12.92,59,7.14,5,2.75,2,"1"
"9",110,"1","1",0,115,25.25,84,23.49,112,8.71,3,3.35,1,"1"
"21",120,"1","2",39,68,34.05,97,18.73,116,11.42,4,2.84,0,"1"
"23",157,"1","2",28,107,32.74,74,16.62,139,4.94,5,1.84,3,"1"
"47",103,"1","1",0,47,41.91,84,16.62,96,9.02,4,3.16,1,"1"
"47",117,"2","1",0,86,28.41,87,15.09,132,11.22,7,3.81,2,"2"
"23",140,"1","1",0,101,39.42,94,13.61,98,4.97,6,3.86,3,"1"
"48",127,"1","1",0,91,24.94,78,17.3,110,9.15,3,3.7,1,"1"
"45",83,"2","1",0,87,46.16,126,18.39,105,5.45,4,3.16,1,"1"
"19",121,"1","1",0,121,30.86,98,18.56,103,7.27,5,2.3,1,"1"
"40",145,"1","2",43,97,43.81,95,13.78,86,12.91,4,3,2,"1"
"13",113,"1","1",0,99,32.95,125,18.82,67,7.75,6,2.86,1,"1"
"30",117,"1","1",0,119,17.48,91,17.57,105,13.46,7,2.73,1,"1"
"36",65,"1","1",0,116,31.94,117,13.4,86,10.23,6,2.03,1,"1"
"40",56,"1","1",0,112,38.42,118,21.12,142,6.32,11,1.86,1,"1"
"37",96,"1","1",0,115,44.27,46,12.41,87,12.13,4,3.11,5,"1"
"19",151,"1","1",0,116,30.38,138,24.83,101,11.97,4,2.65,0,"1"
"36",83,"1","1",0,120,57.36,116,19.33,114,6.93,7,4.27,0,"2"
"46",139,"1","2",23,129,26.79,96,21,112,11.66,2,3.7,0,"1"
"25",6,"1","1",0,117,31.21,72,21.82,79,8.04,2,2.75,1,"1"
"10",115,"1","2",24,124,24.16,129,15.59,114,7.42,4,2.59,1,"1"
"41",87,"1","1",0,97,23.17,108,14.64,101,6.19,5,1.92,0,"1"
"46",141,"1","1",0,110,36.91,111,20.53,103,11.41,6,3.24,0,"1"
"13",141,"1","2",36,99,31.88,116,20.52,105,10.33,5,2.84,3,"1"
"23",62,"1","1",0,103,16.81,122,11.51,82,10.65,1,3.29,1,"1"
"37",146,"1","1",0,151,35.07,89,12.63,91,7.52,3,1.65,1,"1"
"9",92,"1","2",33,92,41.33,92,18.17,104,10.29,2,3.27,2,"1"
"11",185,"1","2",31,126,32.27,133,13.88,126,11.92,3,2.03,1,"1"
"8",148,"1","1",0,102,34.34,128,20.67,90,11.76,3,2.94,1,"1"
"4",94,"1","2",38,124,28.92,116,16.43,73,4.77,4,3.46,1,"1"
"2",32,"1","1",0,87,39.25,90,15.93,53,6.93,2,1.7,0,"1"
"6",68,"1","1",0,105,40.31,105,19,79,4.38,2,3.56,1,"1"
"31",64,"1","2",27,91,30.96,98,14.42,86,7.41,5,2.86,2,"1"
"33",25,"1","1",0,87,20.28,101,17.98,86,12.1,4,2.84,3,"1"
"38",65,"1","1",0,87,19.86,93,15.21,150,8.21,2,3.81,1,"1"
"19",179,"1","1",0,92,37.26,125,12.7,104,11.01,5,1.65,0,"1"
"30",94,"1","1",0,104,42.94,125,14.37,106,7.69,7,3,2,"1"
"24",62,"1","1",0,91,25.01,107,16.18,115,8.78,3,3.29,0,"1"
"23",127,"1","1",0,103,34.36,86,19.5,113,8.78,3,3.11,2,"1"
"3",116,"1","1",0,93,29.5,76,16.5,112,9.36,10,4.37,3,"1"
"17",70,"1","1",0,122,39.46,112,24.85,112,9.05,0,0,3,"1"
"50",94,"2","2",23,125,33.51,136,18.23,103,12.7,5,2.57,4,"1"
"1",126,"1","1",0,94,9.89,118,11.79,91,6.16,1,3.21,5,"2"
"35",67,"1","2",36,111,19.65,94,20.2,103,7.65,12,2.67,2,"1"
"31",19,"1","1",0,98,31.64,57,21.62,127,9.63,7,3.94,2,"1"
"46",170,"2","1",0,68,44.18,122,20.83,121,6.05,3,2.27,3,"1"
"33",73,"1","1",0,145,36.43,135,22.82,92,10.85,13,2.92,1,"1"
"35",106,"1","1",0,74,26.98,139,5.47,103,8.93,4,2.75,1,"1"
"4",93,"1","1",0,71,46.17,108,19.5,121,3.48,3,2.94,2,"1"
"51",164,"1","1",0,111,27.3,126,13.87,112,8.42,3,2.43,1,"1"
"48",51,"1","1",0,109,39.51,95,15.93,107,10.4,3,2.46,1,"1"
"6",107,"1","1",0,85,22.75,94,15.34,115,5.05,4,2.4,0,"1"
"44",130,"1","1",0,109,30.07,104,7.71,69,10.71,2,2.57,1,"1"
"18",80,"1","1",0,74,35.68,77,16.58,119,9.37,4,2.38,2,"1"
"27",94,"1","1",0,118,23.38,88,17.27,131,6.75,2,3.62,0,"1"
"37",118,"1","2",23,52,49.22,111,14.16,88,5.36,4,2.57,1,"1"
"21",117,"1","2",23,86,33.68,86,15.05,92,8.12,6,1.84,1,"1"
"43",78,"1","1",0,119,25.45,115,15.49,126,11.77,8,2.62,0,"1"
"44",208,"1","1",0,67,55.51,113,14.99,102,8.18,6,2.89,2,"2"
"22",131,"2","2",26,101,49.79,97,16.97,127,11.49,7,3.73,4,"2"
"8",63,"1","1",0,64,14.11,106,15.05,89,11.06,3,3.51,0,"1"
"24",53,"1","2",24,146,24.77,136,18.74,96,11.25,5,3.54,3,"1"
"9",62,"1","1",0,101,30.99,93,27.9,131,11.03,1,3.02,2,"1"
"21",97,"1","1",0,86,37.06,94,15.64,110,10.82,8,1.73,3,"1"
"23",105,"1","1",0,109,23.9,51,15.18,83,9.76,3,1.84,2,"1"
"48",157,"1","1",0,105,25.96,80,21.89,93,8.91,4,2.54,1,"1"
"25",66,"1","2",36,76,18.14,77,17.83,117,8.57,2,3.27,1,"1"
"16",122,"1","1",0,98,41.45,72,7.13,84,8.09,8,3.7,2,"1"
"38",38,"1","1",0,94,33.05,95,15.87,90,10.05,5,2.92,3,"1"
"21",106,"1","1",0,95,36.36,70,12.91,124,11.7,5,3.29,3,"1"
"40",99,"1","1",0,112,36.92,89,20.97,89,10.17,7,4.27,3,"1"
"19",99,"1","1",0,72,40.99,98,13.23,109,8.47,10,3.13,1,"1"
"4",144,"2","1",0,100,34.6,103,21.05,94,8.74,11,3.21,0,"1"
"39",82,"1","2",24,131,26.38,106,20.78,68,5.51,3,2.89,1,"1"
"4",86,"1","2",31,139,28.49,118,9.61,121,11.11,6,3.29,1,"1"
"10",70,"2","1",0,98,38.54,115,19.39,93,3.29,4,4.75,2,"2"
"19",93,"1","1",0,93,30.48,98,15.18,131,10.13,6,3.11,3,"1"
"10",93,"1","1",0,89,25.74,76,15.84,120,7.76,3,2.94,0,"1"
"10",120,"1","1",0,80,30.6,82,19.06,91,11.94,7,1.27,3,"1"
"21",136,"1","1",0,121,42.53,118,22.7,114,6.8,2,3.51,1,"2"
"2",106,"1","1",0,121,37.91,98,9.36,107,8.49,12,1.92,0,"1"
"48",81,"1","1",0,116,31.21,98,12.97,99,9.55,6,3.29,3,"1"
"43",127,"1","2",22,114,28.22,103,14.83,68,11.02,6,2.75,1,"1"
"26",65,"1","1",0,112,23.14,96,23.2,104,9.91,2,1.19,1,"1"
"22",35,"1","1",0,113,25.38,122,20.59,104,7.84,6,2.4,2,"1"
"37",88,"1","1",0,97,11.12,76,14.3,113,10.62,1,3.73,2,"1"
"16",65,"1","1",0,111,36.28,94,19.93,123,11.25,4,0.73,1,"1"
"25",123,"1","1",0,85,35.17,78,20.8,136,9.97,2,2.08,3,"1"
"13",126,"1","2",27,78,31.65,83,16.12,139,3.44,3,2.59,2,"1"
"46",104,"1","2",23,136,47.63,92,18.74,102,6.16,3,3.59,4,"1"
"18",45,"1","2",22,84,33.42,92,26.62,108,7.35,3,3.21,0,"1"
"21",93,"2","1",0,109,53.04,100,11,74,9.79,2,2.84,0,"2"
"36",63,"2","2",36,110,33.83,111,24.76,92,8.89,6,2.97,1,"1"
"37",100,"1","1",0,96,34.53,126,18.45,122,8.14,2,3.65,3,"1"
"34",53,"1","1",0,97,28.7,87,18.73,113,6.94,2,2.94,0,"1"
"14",92,"2","1",0,140,29.43,105,20.43,117,10.49,5,2.43,1,"1"
"24",139,"1","1",0,106,22.85,98,17.96,125,8.71,2,2.75,5,"2"
"42",110,"1","2",40,103,34.44,128,10.1,98,10.57,9,2.43,2,"1"
"15",110,"1","1",0,117,12.67,98,17.07,101,8.65,7,2.65,3,"1"
"51",215,"1","1",0,148,14.21,91,10.28,110,10.2,9,2.89,0,"1"
"2",73,"1","1",0,86,32.67,116,14.33,87,6.29,6,2.54,1,"1"
"32",138,"1","1",0,89,37.43,125,7.51,79,8.79,5,3.48,0,"1"
"34",137,"2","1",0,95,22.97,102,11.4,81,10.04,2,3.32,2,"2"
"16",36,"1","1",0,77,43.08,151,15.5,103,12.41,2,2.27,1,"1"
"50",85,"1","1",0,81,38.25,63,15.04,110,8.74,2,1.92,3,"1"
"46",108,"1","1",0,99,33.75,60,22.76,75,15.97,3,2.54,0,"2"
"41",22,"1","1",0,107,18.75,93,14.15,96,9.1,5,2.57,0,"1"
"40",107,"1","2",37,102,10.2,80,8.69,106,11.78,3,3,0,"1"
"16",51,"1","1",0,94,36.52,58,12.72,66,12.75,5,2.75,0,"1"
"4",94,"1","1",0,85,30.91,98,17.2,97,11.07,2,2.48,4,"1"
"33",119,"1","2",23,114,26.18,137,23.63,112,10.28,4,3.19,2,"1"
"38",33,"1","2",29,99,26.76,80,10.02,79,12.56,11,3.75,4,"2"
"32",106,"1","1",0,91,35.34,109,14.62,143,8.63,7,3.89,4,"1"
"26",82,"1","1",0,90,35.19,83,19.8,108,7.76,8,2.46,3,"1"
"23",86,"1","2",41,101,20.23,134,19.55,58,10.66,3,2.57,0,"1"
"44",97,"2","1",0,117,24.43,82,23.21,81,8.02,3,2.94,0,"1"
"10",106,"1","2",32,126,28.2,93,18.4,86,7.79,8,3.81,4,"1"
"8",108,"1","1",0,122,23.56,117,14.65,92,10.42,3,2.65,1,"1"
"44",114,"1","1",0,118,14.4,86,21.24,95,8.7,8,3.92,1,"1"
"17",92,"2","1",0,111,10.64,126,15.35,80,9.98,2,2.81,1,"2"
"45",59,"1","1",0,79,26.38,123,20,80,7.62,4,2.35,1,"1"
"24",24,"1","2",25,110,28.03,105,17.79,55,10.4,9,1.81,1,"1"
"15",151,"1","1",0,88,22.87,112,12.16,61,10.08,1,4.16,1,"1"
"33",117,"1","1",0,103,24.36,108,17.96,96,8.33,3,3.11,1,"1"
"41",78,"1","1",0,110,28.61,73,18.8,136,10.85,1,3.38,1,"1"
"28",155,"1","1",0,55,44.61,113,16.54,85,6.59,6,2.24,2,"1"
"50",114,"1","2",30,79,35.05,91,22.1,83,13.12,6,3.08,1,"1"
"40",114,"1","2",28,94,38.39,117,16.41,100,10.46,9,2.27,4,"1"
"31",119,"1","1",0,89,23.51,78,14.49,98,11.88,6,3.65,3,"1"
"25",64,"1","2",48,104,16.05,101,11.58,89,6.63,4,1.22,0,"1"
"20",118,"2","1",0,123,27.2,96,14.91,99,8.32,3,2.67,2,"1"
"39",101,"1","1",0,105,35.12,117,19.12,100,11.25,3,3.94,0,"1"
"37",117,"1","1",0,121,22.9,83,15.3,104,9.04,3,2.08,1,"1"
"2",49,"1","2",28,78,36.45,100,19.99,107,9.28,13,2.16,3,"1"
"51",139,"1","1",0,104,32.78,96,19.92,101,9.14,3,3.51,3,"1"
"39",92,"1","2",28,90,25.69,79,16.56,114,10.76,3,2.7,1,"1"
"48",83,"1","1",0,103,37.64,103,19.7,100,5.51,5,2.65,3,"1"
"12",148,"2","1",0,88,37.21,85,17.68,99,9.15,4,3,0,"1"
"42",144,"1","2",48,96,32.27,67,10.49,106,9.64,2,1.76,2,"2"
"2",131,"1","2",25,85,32.76,105,19.2,59,11.44,6,2.94,2,"1"
"47",146,"2","1",0,135,34.75,90,18.62,114,10.02,6,2.84,3,"1"
"27",143,"1","1",0,97,29.29,108,14.79,119,8.47,4,3.51,2,"1"
"24",81,"1","1",0,93,33.73,108,17.93,71,8.7,6,2.81,2,"1"
"1",48,"1","2",37,115,35.99,84,13.59,80,6.48,1,3.29,1,"1"
"23",86,"1","2",28,74,37.67,100,24.51,105,10.81,2,2.43,1,"1"
"9",71,"1","1",0,108,33.64,109,15.43,56,12.66,5,1.81,3,"1"
"42",145,"1","2",24,90,25.08,108,14.93,102,11.34,3,4.21,2,"1"
"23",137,"1","1",0,122,35.09,102,10.88,84,8.75,5,2.38,2,"1"
"17",137,"1","1",0,88,35,86,17.79,84,13.05,4,3.92,2,"1"
"2",167,"1","1",0,88,35.29,63,11.25,98,11.48,5,3.81,0,"1"
"37",89,"1","1",0,95,51.66,114,22.18,89,14.04,3,1.43,1,"2"
"7",199,"1","2",34,121,39.2,99,18.65,94,13.47,2,2.16,0,"1"
"30",132,"1","1",0,110,16.92,80,10.97,124,5.63,3,2.62,0,"1"
"49",94,"1","1",0,112,30.11,112,16.49,108,6.6,4,1.59,1,"1"
"7",96,"1","2",37,93,29.36,116,10.21,86,9.72,5,2.78,5,"2"
"49",96,"1","2",18,86,29.36,113,11.34,70,11.68,3,2.65,1,"1"
"16",166,"1","1",0,115,34.71,152,15.29,109,9.76,5,2.57,1,"1"
"8",74,"1","1",0,83,14.57,67,21.05,85,6.41,5,2.73,2,"1"
"3",36,"1","1",0,117,26.79,58,15.67,99,10.82,1,3.21,0,"1"
"22",113,"1","1",0,129,36.64,117,18.59,91,9.32,9,1.78,4,"1"
"24",94,"1","1",0,98,30.86,88,16.99,114,12.95,5,1.78,1,"1"
"21",67,"1","1",0,80,29.19,81,9.38,111,8.79,4,3.21,2,"1"
"10",127,"1","1",0,106,45.32,168,22.51,119,9.32,2,1.59,1,"2"
"40",121,"1","1",0,108,28.97,68,29.79,87,13.37,3,3.02,0,"2"
"13",158,"1","1",0,106,26.86,114,24.86,89,10.85,4,2.46,1,"1"
"4",136,"1","1",0,117,15.64,77,21.56,90,9.63,10,2.78,1,"1"
"25",196,"1","1",0,109,39.78,114,21.21,70,7.79,5,2.46,2,"1"
"47",113,"1","1",0,111,46.26,118,22.82,105,9.62,10,2.3,1,"2"
"16",122,"1","1",0,99,50.39,89,18.26,107,6.03,3,3.08,4,"2"
"40",112,"1","1",0,101,33.05,82,16.18,107,8.25,2,3.08,0,"1"
"42",209,"1","1",0,128,38.62,92,21.96,74,8.26,4,2.4,3,"1"
"24",62,"1","1",0,109,42.28,118,18.7,78,11.96,2,3.56,1,"2"
"44",110,"1","2",38,102,40.17,112,16.65,82,8.26,6,2.62,1,"1"
"46",16,"1","1",0,69,34.95,93,14.41,64,9.9,3,2.94,0,"1"
"20",73,"1","1",0,136,16,122,23.83,77,9.23,4,2.65,0,"1"
"14",128,"1","1",0,99,21.28,107,17.46,111,11.45,2,5.1,0,"1"
"20",39,"1","1",0,158,10.27,120,26.03,46,5.58,3,3.35,1,"1"
"11",103,"1","2",28,105,20.57,100,22.98,76,7.22,4,2.08,2,"1"
"40",119,"1","2",29,66,20.03,114,21.83,76,6.64,3,2.05,3,"1"
"14",173,"1","2",21,96,39.51,118,18.01,102,12.29,5,1.35,3,"1"
"42",128,"2","2",32,81,38,74,16.05,101,6.97,2,2.54,2,"2"
"20",86,"1","1",0,79,29.97,97,22.03,78,12.93,3,1.67,0,"1"
"51",114,"1","2",32,79,21.28,105,15.11,89,10.46,3,3.48,1,"1"
"46",104,"1","1",0,107,23.58,113,21.84,74,10.57,3,2.7,0,"1"
"38",148,"1","1",0,134,14.67,92,20.96,91,11.32,4,3.05,1,"1"
"46",129,"1","1",0,91,35.19,121,13.17,112,11.03,5,3.62,3,"1"
"22",100,"1","2",30,104,10,107,18.66,118,6.85,3,1.92,0,"1"
"2",121,"1","2",35,95,11.68,69,17.78,42,8.88,4,3.08,1,"1"
"11",143,"1","2",33,109,40.66,112,20.02,95,7.03,4,2.57,1,"1"
"13",76,"1","1",0,130,33.71,86,18.45,96,8.48,3,3.38,0,"1"
